Gene ID	baseMean	log2FoldChange	lfcSE (standard error)	stat	pvalue	padj
Os03g0196000	311.7227523	3.09534327	0.179513283	17.24297619	1.26E-66	9.42E-65
Os01g0761000	2923.11018	1.758723034	0.10208972	17.22722951	1.66E-66	1.23E-64
Os12g0277500	1155.331295	2.811916067	0.163307796	17.21850482	1.93E-66	1.43E-64
Os05g0115100	574.544388	-3.068447096	0.178285888	-17.21082432	2.20E-66	1.63E-64
Os05g0217000	292.8940635	5.183772426	0.301324023	17.20331613	2.51E-66	1.85E-64
Os01g0660300	1412.376704	1.708381748	0.099333984	17.19836135	2.73E-66	2.01E-64
Os03g0767500	2726.281951	-1.572585597	0.091756344	-17.13871244	7.63E-66	5.60E-64
Os05g0508900	1422.359566	2.229316712	0.130135414	17.13074587	8.75E-66	6.41E-64
Os08g0465800	5451.064137	-1.802402351	0.105276171	-17.12070584	1.04E-65	7.60E-64
Os01g0166800	302.3215823	2.882296076	0.168590943	17.09638746	1.58E-65	1.15E-63
Os03g0565200	4889.443718	1.94985597	0.11420098	17.07389881	2.32E-65	1.69E-63
Os02g0753800	4230.928684	-1.749765446	0.102519522	-17.06763181	2.58E-65	1.88E-63
Os04g0467901	261.9663421	3.80069381	0.223029832	17.0411903	4.06E-65	2.94E-63
Os01g0948200	1727.85436	-2.058162939	0.120807043	-17.03677933	4.38E-65	3.16E-63
Os03g0267300	8215.839916	1.99671972	0.117383227	17.01026429	6.89E-65	4.96E-63
Os06g0127000	3425.303232	-1.626965632	0.095704671	-16.99985615	8.23E-65	5.91E-63
Os02g0729400	5557.979432	2.047409109	0.120440996	16.99927088	8.31E-65	5.96E-63
Os01g0191800	215.3492008	4.109085424	0.241744992	16.99760307	8.55E-65	6.12E-63
Os02g0581100	19611.68346	1.915852322	0.112810746	16.98288853	1.10E-64	7.84E-63
Os04g0436400	1065.780962	-1.934619531	0.11398064	-16.9732292	1.30E-64	9.22E-63
Os07g0633200	813.9806276	-2.559749009	0.150826867	-16.97143925	1.34E-64	9.48E-63
Os03g0158500	15172.87397	-1.337396157	0.078927599	-16.94459453	2.11E-64	1.49E-62
Os03g0685300	673.4861328	2.696893579	0.159186997	16.94167003	2.22E-64	1.57E-62
Os12g0560700	237.0534313	4.282576499	0.253291465	16.90770154	3.95E-64	2.78E-62
Os01g0105900	3745.367185	-2.03517977	0.120444466	-16.89724593	4.71E-64	3.31E-62
Os03g0126300	958.467602	2.784912952	0.165072478	16.87084963	7.37E-64	5.17E-62
Os10g0508000	290.3714163	3.887852431	0.230511277	16.86621356	7.97E-64	5.58E-62
Os04g0657500	2244.740243	2.526197999	0.149946934	16.84728009	1.10E-63	7.67E-62
Os03g0320800	342.0895386	3.028529797	0.179780093	16.84574611	1.13E-63	7.85E-62
Os03g0745550	402.3331253	-2.720004068	0.161500862	-16.84204054	1.20E-63	8.34E-62
Os02g0328300	3185.891439	1.811499796	0.107700896	16.81972813	1.75E-63	1.21E-61
Os03g0829200	333.3225395	-3.713333166	0.221227665	-16.78512117	3.14E-63	2.17E-61
Os08g0205800	5494.545107	-3.233481385	0.1926849	-16.78118721	3.35E-63	2.31E-61
Os02g0555300	239.908869	-3.89216541	0.231998618	-16.77667499	3.62E-63	2.49E-61
Os01g0639900	86176.60858	3.216034045	0.192249065	16.72847695	8.13E-63	5.58E-61
Os09g0396900	317.2955215	-3.639013137	0.217727334	-16.71362555	1.04E-62	7.15E-61
Os08g0104600	16019.7253	1.818754219	0.108851842	16.70852955	1.14E-62	7.77E-61
Os03g0399800	1182.846112	3.060484913	0.183282512	16.69818291	1.35E-62	9.22E-61
Os02g0574500	1530.149262	-2.18078203	0.130662397	-16.69020375	1.54E-62	1.05E-60
Os07g0507200	393.7177103	3.170759942	0.190024946	16.68601945	1.66E-62	1.12E-60
Os12g0454600	360.4888752	3.24290691	0.194408375	16.68090126	1.80E-62	1.22E-60
Os01g0101200	2376.29221	2.309238691	0.13849904	16.67331915	2.05E-62	1.38E-60
Os01g0118400	1297.940388	-2.152099498	0.129132905	-16.66577163	2.32E-62	1.57E-60
Os05g0138300	11823.02297	-1.709094099	0.102576941	-16.66158194	2.49E-62	1.68E-60
Os03g0817200	2285.42465	-2.150704847	0.129167977	-16.65044923	3.00E-62	2.02E-60
Os04g0571300	3639.742221	-1.936911695	0.116343967	-16.648149	3.12E-62	2.09E-60
Os02g0233200	397.0778459	-2.445338361	0.146904276	-16.64579427	3.25E-62	2.17E-60
Os09g0564200	530.9728559	3.263164818	0.196208816	16.63108153	4.15E-62	2.77E-60
Os03g0128800	670.7114424	3.239061822	0.194846594	16.62365122	4.70E-62	3.13E-60
Os07g0213500	1120.45232	-2.553110903	0.153621051	-16.61953803	5.03E-62	3.34E-60
Os06g0113900	3935.320521	1.478154712	0.088949709	16.61787008	5.17E-62	3.43E-60
Os12g0597500	2652.571377	-1.368215757	0.082345683	-16.61551283	5.38E-62	3.56E-60
Os03g0563300	4699.051838	2.802920224	0.168814438	16.60355749	6.57E-62	4.33E-60
Os08g0557600	2637.939473	-2.227834987	0.134199983	-16.60085899	6.87E-62	4.52E-60
Os03g0138200	248.1904495	3.47811973	0.210088212	16.55552067	1.46E-61	9.59E-60
Os06g0727200	10659.31276	-1.393876157	0.08419826	-16.55469077	1.48E-61	9.70E-60
Os05g0421450	573.3780933	-3.149658995	0.190275586	-16.55314305	1.52E-61	9.93E-60
Os03g0337600	3800.507838	2.11249966	0.12771831	16.54030384	1.88E-61	1.23E-59
Os04g0118700	360.3849677	2.380435796	0.143961257	16.53525288	2.05E-61	1.33E-59
Os04g0275950	221.2471826	-4.727167412	0.285932261	-16.53247307	2.14E-61	1.39E-59
Os01g0198900	2177.998416	1.945536672	0.117783388	16.51792084	2.73E-61	1.77E-59
Os02g0653000	1699.810525	2.592719987	0.157001048	16.51402984	2.91E-61	1.88E-59
Os09g0481200	21219.74576	1.953900597	0.118378943	16.50547424	3.35E-61	2.16E-59
Os06g0671800	628.0833058	3.715559915	0.225270174	16.49379431	4.07E-61	2.62E-59
