Gene ID	baseMean	log2FoldChange	lfcSE (standard error)	stat	pvalue	padj
Os12g0119000	32.65969894	1.397781912	0.395124523	3.537573172	0.000403822	0.001171412
Os03g0291200	54.71324212	1.070870746	0.30271744	3.537525771	0.000403895	0.001171508
Os03g0253200	63.83045121	1.176081567	0.332507678	3.53700575	0.000404691	0.001173702
Os10g0533200	499.08801	0.417424369	0.118033356	3.53649496	0.000405474	0.001175859
Os02g0160800	11.85425259	-2.639475933	0.746595591	-3.535348944	0.000407237	0.001180856
Os08g0345700	3383.361709	-0.35786919	0.101244675	-3.53469642	0.000408244	0.001183661
Os11g0234100	98.96836683	-0.76206388	0.215618091	-3.534322543	0.000408822	0.001185221
Os01g0128000	110.1278018	-0.886489435	0.250848544	-3.533962841	0.000409379	0.001186719
Os08g0356700	221.9236509	0.92200421	0.26093083	3.533519636	0.000410066	0.001188595
Os01g0844000	1039.178287	-0.473515741	0.134020026	-3.533171529	0.000410606	0.001190045
Os12g0430000	1101.891884	0.372663722	0.105479037	3.53305959	0.00041078	0.001190433
Os02g0154600	592.5309584	-0.440522675	0.124719348	-3.532111755	0.000412255	0.001194592
Os06g0226700	1820.818696	-0.489159328	0.138493018	-3.532014345	0.000412407	0.001194869
Os10g0576900	539.2827746	0.503906903	0.142669045	3.531998847	0.000412431	0.001194869
Os11g0523110	102.0452203	0.865953436	0.245200363	3.531615637	0.000413029	0.001196485
Os05g0552200	121.5611278	0.724625388	0.205201131	3.531293349	0.000413533	0.001197828
Os01g0956075	188.8838861	-0.620110219	0.175611247	-3.531153217	0.000413752	0.001198346
Os02g0590800	68.48650223	-1.161799653	0.329047634	-3.530794737	0.000414313	0.001199854
Os01g0653700	520.7381458	-0.457809758	0.129667561	-3.530642157	0.000414552	0.001200429
Os01g0749100	344.9214996	0.459247872	0.130113568	3.52959248	0.0004162	0.001205084
Os02g0573500	49.54266985	1.325124718	0.375462446	3.529313603	0.000416639	0.001206238
Os01g0760300	17.88200349	-2.02006314	0.57238274	-3.529217423	0.000416791	0.001206559
Os03g0350300	1839.878072	0.298308753	0.084526866	3.52915905	0.000416883	0.001206687
Os11g0220700	336.8904334	0.497191191	0.140881771	3.52913785	0.000416916	0.001206687
Os01g0694300	988.625696	-0.349234269	0.098971481	-3.528635361	0.000417708	0.001208862
Os11g0143400	198.55376	0.599401365	0.169875525	3.528473944	0.000417963	0.001209482
Os02g0256500	33.6089895	-1.373804701	0.389383029	-3.528157615	0.000418463	0.001210811
Os02g0245100	721.3732819	-0.377811341	0.107093798	-3.527854542	0.000418942	0.00121208
Os04g0649000	8.153086728	-3.329973637	0.944097116	-3.527151584	0.000420056	0.001215184
Os05g0112800	172.3692257	0.771991528	0.218884861	3.526929749	0.000420408	0.001215848
Os12g0562300	1639.354974	-0.336586503	0.095432937	-3.526942728	0.000420388	0.001215848
Os09g0361400	34.19476007	-1.509816303	0.428082071	-3.526931881	0.000420405	0.001215848
Os11g0299300	7.88447443	-4.085512521	1.158488378	-3.52658913	0.000420949	0.001217295
Os12g0123200	180.6016707	-0.659290505	0.186951601	-3.526530398	0.000421043	0.001217447
Os01g0304300	398.1015223	0.467738339	0.132656296	3.525941511	0.00042198	0.001220038
Os11g0163800	489.1579917	0.465531552	0.13206162	3.525108602	0.000423309	0.001223762
Os10g0132700	343.3205492	-0.514204497	0.145871649	-3.525047543	0.000423407	0.001223925
Os02g0592700	255.920216	-0.597795908	0.169596232	-3.524818325	0.000423773	0.001224746
Os02g0664700	788.7263515	0.388721003	0.110281072	3.524820671	0.00042377	0.001224746
Os07g0180700	847.6532419	-0.459557864	0.130431721	-3.523359667	0.000426113	0.001231388
Os04g0120300	122.1279608	1.024640405	0.290845796	3.522967909	0.000426743	0.00123309
Os01g0588800	1040.026332	-0.393254196	0.111628462	-3.522884644	0.000426877	0.001233357
Os01g0133100	232.0866578	-0.575584132	0.163411061	-3.522308277	0.000427806	0.001235922
Os02g0681700	247.7153475	0.707057283	0.200738949	3.522272508	0.000427864	0.001235969
Os03g0581800	1946.645896	0.401224515	0.113915138	3.522135176	0.000428086	0.001236287
Os02g0119300	788.8407626	-0.357554178	0.101516548	-3.52212704	0.000428099	0.001236287
Os08g0470700	11.33354944	-2.918777734	0.828695292	-3.522136259	0.000428084	0.001236287
Os10g0176700	175.6060256	0.966409562	0.274404303	3.521845516	0.000428554	0.00123748
Os03g0797500	30.30691151	-2.144099707	0.608868652	-3.521448673	0.000429196	0.001239214
Os01g0364400	43.31694287	1.681997671	0.477663674	3.521301208	0.000429435	0.001239783
Os05g0233000	53.40303593	1.095841939	0.311221773	3.52109664	0.000429766	0.001240619
Os10g0105700	252.4447997	0.722566512	0.205271662	3.520049993	0.000431465	0.001245404
Os01g0711200	19.07576585	1.983696008	0.56357927	3.519817201	0.000431844	0.001246377
Os04g0497000	1441.199626	0.562576422	0.159848271	3.519440135	0.000432459	0.001248029
Os04g0506900	683.5372457	-0.787651289	0.223815895	-3.519192813	0.000432862	0.001249072
Os03g0723000	147.8012618	0.703862471	0.200020186	3.518957187	0.000433247	0.001249968
Os05g0488500	289.140027	-0.527262913	0.149835253	-3.518950991	0.000433257	0.001249968
Os06g0670500	988.1140018	-0.3335338	0.094787837	-3.518740494	0.000433601	0.001250839
Os01g0856900	443.3104196	-0.563834148	0.160252795	-3.518404447	0.00043415	0.001252303
Os12g0535400	1099.839398	-0.405456809	0.115244939	-3.518217913	0.000434455	0.001253062
Os04g0166000	39.77562102	1.188089545	0.337715764	3.518016246	0.000434786	0.001253893
Os12g0509400	12.60991417	-2.344522194	0.666490635	-3.517712137	0.000435284	0.001255209
Os01g0816400	4543.385091	0.372491455	0.105899626	3.517401047	0.000435795	0.001256559
Os09g0460000	451.3515207	-0.442036957	0.125674357	-3.517320211	0.000435928	0.00125682
Os06g0672400	933.61326	-0.354802839	0.100883896	-3.516942276	0.000436549	0.001258489
Os04g0561600	161.5585015	-0.642146713	0.182588453	-3.516907565	0.000436606	0.001258532
Os04g0584300	69.84579855	1.017286518	0.289282668	3.516583025	0.00043714	0.001259949
Os06g0479200	2553.974309	0.404216218	0.114959016	3.516176726	0.000437809	0.001261757
Os01g0209000	813.1891087	0.400682074	0.113961817	3.515932664	0.000438212	0.001262795
Os03g0791432	244.0440589	-0.544750101	0.154947735	-3.515702259	0.000438593	0.001263769
Os10g0390701	804.5074859	-0.436617089	0.124196103	-3.515545796	0.000438851	0.001264391
Os03g0149700	131.3402147	1.09873721	0.312584499	3.515008621	0.00043974	0.001266829
Os03g0723600	945.4482523	-0.428577242	0.121965098	-3.513933481	0.000441523	0.001271844
Os04g0576700	907.6435353	-0.37422587	0.106498826	-3.513896659	0.000441585	0.001271897
Os02g0608400	1570.446195	-0.346294433	0.098560218	-3.513531508	0.000442192	0.0012734
Os04g0555000	264.9281001	0.572403685	0.162913069	3.51355289	0.000442156	0.0012734
Os03g0125400	757.5106787	-0.409292455	0.116538359	-3.51208356	0.000444608	0.001280234
Os03g0802700	784.3575967	0.361399065	0.102906596	3.51191352	0.000444893	0.001280929
Os05g0491700	19.09500008	1.858421873	0.529364551	3.510665513	0.000446986	0.001286833
Os01g0223800	64.03333674	-1.006128648	0.286723323	-3.50905757	0.000449698	0.001294513
Os04g0644800	222.3488305	-0.662012308	0.18870146	-3.508252186	0.000451061	0.001298313
Os11g0570000	1074.886797	0.448545971	0.127874585	3.507702253	0.000451995	0.001300873
Os06g0125132	561.8496506	-0.491382658	0.140142976	-3.506295294	0.000454391	0.001307643
Os07g0446900	20.36645052	-2.194722265	0.625957917	-3.506181816	0.000454585	0.001308074
Os05g0196200	168.6969325	0.762757886	0.217607669	3.50519764	0.000456268	0.001312792
Os09g0400500	204.9786545	0.888210357	0.253443843	3.504564746	0.000457354	0.00131579
Os04g0443200	102.2458174	-0.779515825	0.22244861	-3.504251278	0.000457893	0.001317212
Os05g0514200	463.3784226	-0.429325476	0.122517835	-3.50418759	0.000458003	0.0013174
Os10g0479600	265.1176159	-0.612536574	0.174812223	-3.503968791	0.000458379	0.001318355
Os11g0110000	83.59098095	-0.839916114	0.239731889	-3.503564405	0.000459076	0.001320231
Os07g0491800	44.31759182	1.290160438	0.368262618	3.50337062	0.00045941	0.001321064
Os09g0345300	204.7756013	0.749342711	0.213914305	3.503004202	0.000460042	0.001322755
Os02g0128600	221.9765296	-0.58022518	0.165676966	-3.502147549	0.000461524	0.001326887
Os11g0100300	6.95785961	5.086156642	1.452431176	3.501822824	0.000462087	0.001328377
Os03g0567600	200.8833088	0.650808631	0.185870717	3.501404865	0.000462812	0.001330333
Os01g0509900	67.63772345	0.985041709	0.281337799	3.501277506	0.000463033	0.001330841
Os07g0164200	474.1805988	0.539668258	0.154176144	3.500335684	0.000464673	0.001335423
Os09g0449800	35.59463166	-1.349740103	0.385612333	-3.500251387	0.00046482	0.001335716
Os07g0240600	146.5698448	0.697459964	0.199268764	3.500096796	0.000465089	0.001336362
Os03g0133000	159.4963966	0.828888335	0.236865528	3.499404675	0.000466298	0.001339707
Os12g0633200	144.180673	0.799908807	0.228586308	3.499373225	0.000466353	0.001339735
Os11g0549700	1106.995071	-0.332291683	0.094959764	-3.499289261	0.0004665	0.001340028
Os01g0645200	3522.173102	0.35172365	0.100530884	3.49866266	0.000467598	0.001343051
Os03g0135300	1489.260406	0.4972369	0.142153669	3.497882982	0.000468967	0.001346853
Os03g0701000	2353.340672	0.3224931	0.092200662	3.497730852	0.000469234	0.001347492
Os01g0375500	22.95898664	2.059066848	0.588742366	3.497398803	0.000469819	0.00134904
Os08g0450100	17.19875982	2.010103645	0.574771353	3.497223088	0.000470129	0.001349798
Os08g0506100	55.29349914	1.271320703	0.363533824	3.497118064	0.000470314	0.0013502
Os11g0417400	84.34399118	1.02555798	0.293359271	3.495911269	0.000472446	0.00135619
Os04g0637400	1153.949976	0.347654813	0.09946141	3.495373862	0.000473398	0.001358792
Os10g0369000	1465.058317	0.333390617	0.095385346	3.495197442	0.000473711	0.00135956
Os05g0582400	32.76185436	1.309704206	0.374732473	3.495037922	0.000473994	0.001360241
Os01g0125550	30.20507176	-1.463248818	0.418731089	-3.494483352	0.00047498	0.001362939
Os03g0799000	9363.105862	0.371925395	0.106435379	3.494377519	0.000475169	0.001363348
Os08g0120200	788.1770712	-0.371708315	0.106374454	-3.494338177	0.000475239	0.001363417
Os12g0639800	148.0495232	-0.871299687	0.249348688	-3.49430227	0.000475303	0.001363469
Os07g0295000	169.8835523	0.633658268	0.181351011	3.494098358	0.000475666	0.001364379
Os04g0628400	964.0016016	-0.346476928	0.099171167	-3.493726432	0.000476329	0.00136615
Os08g0525000	71.01958762	0.996309835	0.285205825	3.493301149	0.000477088	0.001368196
Os03g0360600	1653.582688	0.47351732	0.135553524	3.493212905	0.000477246	0.001368516
Os01g0862000	493.5585375	-0.487318974	0.139525599	-3.492685062	0.00047819	0.001371091
Os03g0801500	377.0635521	-0.539565484	0.154488412	-3.492595179	0.000478351	0.001371288
Os11g0307300	153.0224925	0.923548396	0.264429016	3.492613674	0.000478318	0.001371288
Os03g0836500	537.8620174	-0.473020258	0.135444043	-3.492366652	0.000478761	0.00137233
Os11g0302750	103.7962872	1.103825675	0.316138309	3.491591006	0.000480153	0.001376188
Os09g0455200	42.55710327	1.272262558	0.364390581	3.491480358	0.000480352	0.001376626
Os08g0230600	77.05775458	-1.093507731	0.313222945	-3.491148228	0.000480949	0.001378206
Os01g0148000	1580.093139	-0.412053029	0.118038631	-3.490831981	0.000481519	0.001379705
Os03g0333800	942.3144541	0.346216377	0.099200856	3.49005432	0.000482922	0.001383593
Os09g0103600	930.9987898	-0.349928719	0.100284535	-3.48935876	0.000484181	0.001387065
Os05g0258400	578.4671572	0.48904817	0.14016407	3.489112216	0.000484628	0.001388211
Os01g0658300	3.791621674	-5.521811956	1.582609363	-3.489055533	0.00048473	0.001388372
Os03g0823400	11199.92784	-0.323358151	0.09272361	-3.487333516	0.000487863	0.001397208
Os01g0529800	748.5958147	1.743752562	0.500158276	3.486401497	0.000489566	0.001401951
Os06g0705500	260.1890251	-0.498745857	0.143056453	-3.486356941	0.000489647	0.001402049
Os01g0694000	31.48642881	-1.39540557	0.400253975	-3.48630034	0.000489751	0.001402211
Os03g0196600	222.9033042	0.753281875	0.21611194	3.485609708	0.000491017	0.001405701
Os02g0523500	8219.841451	-0.249312458	0.071528351	-3.485505485	0.000491208	0.001406113
Os02g0686600	523.5902583	0.403287533	0.115720151	3.485024266	0.000492092	0.001408509
Os02g0689800	1256.74494	-0.30972706	0.088882732	-3.484670803	0.000492743	0.001410141
Os07g0539950	15.59987394	2.007234738	0.576019793	3.484662787	0.000492758	0.001410141
Os12g0140300	95.00109845	-0.886928641	0.254535935	-3.484492828	0.000493071	0.001410901
Os06g0342500	964.9752509	-0.34297944	0.098464948	-3.483264334	0.000495339	0.001417256
Os01g0677900	178.2865977	1.064083472	0.305545794	3.482566254	0.000496632	0.001420819
Os11g0693800	38.1020667	1.468488328	0.421813656	3.481367442	0.000498861	0.001427057
Os10g0124900	49.20619724	1.1630438	0.334124796	3.480866474	0.000499795	0.001429591
Os10g0349900	42.52660494	1.195557647	0.343512892	3.480386547	0.000500691	0.001432017
Os03g0639600	1208.579683	-0.317300604	0.091171083	-3.480276805	0.000500896	0.001432466
Os12g0165900	283.2100475	0.752566565	0.216239385	3.480247441	0.000500951	0.001432485
Os02g0530300	218.5675036	-0.762257163	0.219066393	-3.47957143	0.000502216	0.001435966
Os02g0230000	207.6571731	0.666499388	0.191565813	3.479218854	0.000502878	0.001437719
Os11g0126100	27.83622873	1.490527633	0.42845777	3.478820405	0.000503626	0.00143972
Os01g0771200	582.0742525	-0.529746966	0.152280825	-3.478750312	0.000503758	0.001439958
Os02g0781800	359.3321936	-0.455349603	0.130910787	-3.478319972	0.000504567	0.001442133
Os10g0579100	447.3003358	0.496219526	0.142665153	3.478211161	0.000504772	0.00144258
Os04g0510400	435.0728073	0.435677946	0.125288142	3.477407667	0.000506287	0.001446772
Os02g0531600	341.0260859	-0.654200856	0.18814856	-3.477044185	0.000506974	0.001448595
Os09g0284200	890.9725411	-0.455198976	0.130936849	-3.476477255	0.000508047	0.001451522
Os05g0478000	329.7952155	0.632750698	0.182018217	3.476304238	0.000508375	0.001452319
Os01g0259300	51.28262568	1.18442884	0.340735579	3.476093815	0.000508774	0.00145332
Os02g0651200	37.51978513	1.29072046	0.371370944	3.475555857	0.000509796	0.001456098
Os10g0420000	164.5510006	-0.627287819	0.180509813	-3.475089846	0.000510682	0.00145849
Os03g0785300	652.8883334	-0.401014168	0.115405296	-3.474833329	0.000511171	0.001459745
Os02g0752200	23.72037222	1.757526264	0.505807673	3.474692769	0.000511439	0.00146037
Os03g0421400	994.9767209	-0.352362754	0.101411106	-3.474597286	0.000511621	0.001460749
Os01g0180400	209.0678618	-0.658898576	0.189647166	-3.474339168	0.000512113	0.001462004
Os05g0489600	18758.71143	-0.321359075	0.092495652	-3.474315492	0.000512158	0.001462004
Os03g0140100	217.2459212	0.735613315	0.211761971	3.473774408	0.000513192	0.001464814
Os05g0320500	19.33779034	1.873047608	0.539321658	3.47296939	0.000514734	0.001469074
Os04g0446401	159.8208593	0.71706605	0.206507049	3.472356288	0.000515911	0.001472292
Os01g0607300	54.73839397	1.054662063	0.303737677	3.472279343	0.000516059	0.001472573
Os03g0245500	159.675452	0.799355514	0.230239643	3.471841363	0.000516902	0.001474541
Os03g0397400	364.2217189	-0.568902713	0.163859425	-3.47189497	0.000516798	0.001474541
Os02g0690800	1397.801929	-0.366422563	0.105541988	-3.471817888	0.000516947	0.001474541
Os05g0466900	303.0641559	0.530570144	0.152820213	3.47185843	0.000516869	0.001474541
Os04g0683100	1105.727001	-0.34683927	0.099910122	-3.471512836	0.000517535	0.001476075
Os03g0369000	16.65734231	1.905325241	0.548887498	3.471249112	0.000518043	0.001477384
Os11g0112400	25.96355571	-1.655360891	0.476929131	-3.470873935	0.000518767	0.001479308
Os01g0166400	27.44379498	1.648540106	0.474971253	3.470820805	0.00051887	0.001479459
Os03g0377600	35.84092079	-1.311182502	0.377947566	-3.469218005	0.000521976	0.001488171
Os09g0491822	69.86504146	0.961783308	0.277320019	3.468135162	0.000524084	0.001494038
Os03g0274800	385.5131698	-0.506299225	0.146009637	-3.467574023	0.000525179	0.001497017
Os10g0114500	64.7446406	-1.483234998	0.427754287	-3.467493003	0.000525337	0.001497325
Os06g0679500	377.5215937	0.483298914	0.139440349	3.465990417	0.000528282	0.001505574
Os11g0549620	715.9975909	-0.602457903	0.173853537	-3.465318638	0.000529604	0.001509195
Os03g0734200	86.96898209	-1.148859769	0.331572889	-3.464878483	0.000530471	0.001511523
Os05g0390800	175.9925045	0.70275851	0.202859265	3.464266274	0.00053168	0.001514822
Os10g0561400	3666.622817	-0.399515513	0.115330179	-3.464102078	0.000532005	0.001515602
Os11g0549680	1120.360091	-0.334326669	0.096519782	-3.463815012	0.000532573	0.001517074
Os02g0258900	1307.10678	-0.38209724	0.110315857	-3.463665601	0.000532868	0.001517772
Os08g0240500	75.52597906	0.970255397	0.280151912	3.463318849	0.000533556	0.001519584
Os01g0756300	203.6496624	-0.583816291	0.168573529	-3.463273832	0.000533645	0.001519595
Os05g0179950	1826.43266	-0.324081536	0.093577326	-3.463248529	0.000533695	0.001519595
Os11g0141900	68.95806955	0.898798978	0.259525491	3.463239675	0.000533713	0.001519595
Os01g0715900	43.69324214	1.209392188	0.349217561	3.463148261	0.000533894	0.001519965
Os01g0785400	79.52770711	-0.833220346	0.240627852	-3.462692863	0.000534798	0.001522394
Os04g0367400	241.096903	0.566416984	0.163596903	3.462272043	0.000535635	0.001524631
Os08g0436600	295.7944091	0.567647936	0.163990654	3.461465163	0.000537244	0.001529062
Os03g0184300	814.0207056	0.42018903	0.121395467	3.4613239	0.000537526	0.001529719
Os07g0620500	300.5436354	-0.583196158	0.168508157	-3.460937262	0.000538298	0.001531771
Os10g0462500	245.1302669	-0.520200874	0.150342262	-3.460110725	0.000539953	0.001536333
Os10g0573800	495.7030922	-0.672160293	0.194299452	-3.459403949	0.000541372	0.001540223
Os02g0819900	330.3007341	-0.488026987	0.141076963	-3.459296093	0.000541589	0.001540693
Os02g0670000	445.3326089	-0.463368862	0.133951587	-3.459226364	0.000541729	0.001540945
Os01g0834600	1778.374047	0.362396913	0.104769227	3.459001502	0.000542182	0.001542084
Os11g0142400	136.5995952	0.779505423	0.225387335	3.458514759	0.000543163	0.001544726
Os10g0412700	187.9611017	-0.595059781	0.172059663	-3.458450231	0.000543293	0.001544948
Os02g0757900	1085.805896	-0.386349322	0.111717174	-3.45828048	0.000543635	0.001545774
Os04g0525200	72.98442787	1.122267611	0.324553176	3.457885159	0.000544433	0.001547896
Os03g0342100	82.58137667	1.154713818	0.333977207	3.457462947	0.000545287	0.001550175
Os07g0158200	274.702628	-0.575933246	0.166586729	-3.457257675	0.000545703	0.001551208
Os06g0153600	362.2707502	-0.470153427	0.135996287	-3.457104885	0.000546012	0.00155194
Os03g0607800	40.98598571	1.284761782	0.371710831	3.456347448	0.000547549	0.00155601
Os11g0207600	55.56655317	-1.06074608	0.30689578	-3.456372327	0.000547499	0.00155601
Os03g0407050	2982.921912	-0.386864973	0.111934599	-3.456169744	0.00054791	0.001556888
Os01g0818600	639.3437892	0.402450777	0.116453065	3.455905405	0.000548448	0.001558266
Os04g0653600	158.0065907	-0.767709598	0.222155686	-3.455727887	0.000548809	0.001559144
Os05g0579000	205.4105833	-0.569658284	0.164876059	-3.455069743	0.00055015	0.001562806
Os12g0626500	36.2340569	-2.145532028	0.621049986	-3.45468493	0.000550936	0.001564888
Os02g0827900	601.5954145	-0.477820293	0.138323528	-3.454367459	0.000551585	0.001566582
Os05g0129300	9226.029069	0.365722803	0.105888665	3.453842814	0.000552659	0.001569483
Os12g0599900	35.26452057	1.239567323	0.358922803	3.453576408	0.000553206	0.001570884
Os10g0502900	729.5805752	-0.426607918	0.12353994	-3.453198359	0.000553981	0.001572937
Os01g0560200	667.1928928	-0.440621149	0.127605125	-3.453005122	0.000554378	0.001573914
Os05g0333600	23.64509687	1.572828256	0.455542593	3.452648073	0.000555113	0.001575848
Os04g0670600	893.535548	0.421298749	0.122023726	3.452596988	0.000555218	0.001575931
Os11g0293300	231.2373649	-0.621783996	0.18009363	-3.45255962	0.000555295	0.001575931
Os09g0457400	3.976330165	-5.589310759	1.618890384	-3.452556648	0.000555301	0.001575931
Os06g0237300	1548.332089	0.351410788	0.101793395	3.452196376	0.000556043	0.001577886
Os09g0321500	225.6276245	0.790653423	0.229057338	3.451770772	0.000556921	0.001580226
Os08g0189400	28.07283711	1.698448283	0.492123109	3.451267074	0.000557961	0.001583028
Os09g0437100	83.41158242	-0.869262643	0.251882253	-3.451067439	0.000558374	0.001584048
Os08g0238200	1358.488267	0.440256536	0.12757534	3.450953264	0.00055861	0.001584567
Os03g0799200	25.10429518	1.595891795	0.462453752	3.450921931	0.000558675	0.0015846
Os04g0283900	328.6493215	0.531985308	0.154202043	3.449923861	0.000560745	0.001590318
Os01g0871800	176.0909459	-0.637539117	0.184802199	-3.449845942	0.000560907	0.001590626
Os01g0719125	42.08975949	-1.276960953	0.370163407	-3.449722285	0.000561164	0.001591097
Os02g0759400	2103.002564	0.702576922	0.203662336	3.449714549	0.00056118	0.001591097
Os07g0495000	1393.462274	0.324558139	0.094093041	3.449332023	0.000561975	0.001593201
Os08g0239000	116.5273016	0.79587165	0.230750172	3.449062006	0.000562538	0.001594643
Os07g0530700	1068.244028	0.345461371	0.100172537	3.448663477	0.000563368	0.001596846
Os12g0171900	49.64020911	-1.221126324	0.354090351	-3.448629202	0.00056344	0.001596896
Os02g0609500	271.2688686	-0.524639084	0.152158938	-3.447967569	0.000564822	0.00160066
Os05g0509200	2671.59088	-0.295209628	0.085626382	-3.44764803	0.00056549	0.001602402
Os02g0234450	45.59140735	1.10128102	0.319449001	3.44743924	0.000565928	0.001603489
Os08g0157700	32.47087634	1.424834231	0.413328392	3.447220804	0.000566385	0.001604633
Os05g0513500	164.7754553	0.599333358	0.173863973	3.447139449	0.000566556	0.001604963
Os03g0745400	1733.289648	-0.328822418	0.095426181	-3.445830233	0.000569308	0.001612605
Os07g0586600	34.72831634	1.347684714	0.391173163	3.44523817	0.000570556	0.001615988
Os08g0477900	28.50250841	-1.509877048	0.438293935	-3.444896059	0.000571279	0.00161788
Os05g0111300	20965.02607	0.659686577	0.191502168	3.444799521	0.000571483	0.001618304
Os02g0200000	646.3561934	-0.401119426	0.116461299	-3.444229373	0.00057269	0.001621567
Os05g0217800	491.8673162	0.925602842	0.268784785	3.443657883	0.000573901	0.001624843
Os09g0392400	3147.448935	-0.326447315	0.094801131	-3.443495994	0.000574245	0.001625661
Os02g0445600	18.85069587	1.832521245	0.532207572	3.443245347	0.000574778	0.001627014
Os06g0144600	348.6370041	-0.506782649	0.147186119	-3.443141589	0.000574998	0.001627483
Os02g0741900	1277.835835	-0.371960426	0.108036812	-3.442904506	0.000575502	0.001628756
Os01g0143100	318.7563145	0.546089698	0.158615416	3.442853861	0.00057561	0.001628906
Os01g0118066	216.6018576	0.646501312	0.187820043	3.44213163	0.000577149	0.001633106
Os01g0805800	504.0107328	-0.412498207	0.119839788	-3.442080585	0.000577258	0.001633259
Os05g0378800	946.4329871	-0.355898706	0.103408528	-3.441676548	0.000578121	0.001635544
Os01g0873300	27.77217654	1.424002674	0.413761266	3.441604591	0.000578275	0.001635824
Os04g0583900	67.41893694	-1.02347389	0.297398672	-3.441420517	0.000578668	0.001636626
Os10g0150200	44.90765694	1.283696908	0.37301101	3.441445084	0.000578616	0.001636626
Os08g0441500	974.108877	0.408627852	0.118759797	3.440792791	0.000580013	0.001640271
Os03g0201901	250.2299703	-0.818317344	0.237843897	-3.440564809	0.000580501	0.001641498
Os11g0233800	407.4431169	0.479080862	0.139309855	3.438958875	0.000583956	0.001651109
Os05g0417200	924.8862267	-0.341238592	0.099234459	-3.438710655	0.000584492	0.001652467
Os02g0190900	389.8061027	-0.47393326	0.137824591	-3.438669812	0.00058458	0.001652559
Os12g0286200	26.79178187	1.506278289	0.43804739	3.438619479	0.000584688	0.001652709
Os02g0150100	1216.603082	-0.345558845	0.10050565	-3.438203184	0.000585588	0.001655053
Os04g0684600	36.5388572	1.382453134	0.402091144	3.438158623	0.000585685	0.001655053
Os07g0549700	3081.572411	-0.285802226	0.083126476	-3.438161193	0.000585679	0.001655053
Os02g0124866	3347.14872	0.528797719	0.153837196	3.437385324	0.000587359	0.001659628
Os03g0364400	2262.013426	-0.487122943	0.141747804	-3.43654667	0.000589181	0.001664613
Os11g0456000	20.36109957	2.432311908	0.707783117	3.436521513	0.000589236	0.001664613
Os04g0606800	1056.698364	-0.368119218	0.107124406	-3.436371143	0.000589563	0.001665379
Os06g0291800	132.3773333	0.801719107	0.233338835	3.435858016	0.00059068	0.001668378
Os08g0427300	764.7121956	-0.362693176	0.105563491	-3.435782321	0.000590845	0.001668685
Os12g0141600	494.9278227	-0.425198544	0.123776787	-3.435204237	0.000592107	0.001672091
Os01g0658400	367.7205386	-0.492392684	0.143346044	-3.434993177	0.000592569	0.001673212
Os06g0527500	269.574291	-0.480682523	0.139937867	-3.434971069	0.000592617	0.001673212
Os12g0155250	133.8266232	0.658843828	0.191825026	3.434608304	0.000593411	0.001675294
Os01g0892300	32.58032567	1.40945406	0.410379846	3.434510914	0.000593624	0.001675737
Os05g0167600	28.40831939	1.496418496	0.435761399	3.434031789	0.000594674	0.001678518
Os11g0275400	1069.6655	-0.336957224	0.098123537	-3.434010158	0.000594722	0.001678518
Os03g0169800	1011.276826	0.49511856	0.144188686	3.433823924	0.000595131	0.001679512
Os03g0670100	1279.750542	-0.339831046	0.09897943	-3.433350217	0.000596171	0.001682264
Os05g0531100	141.5848471	-0.757262146	0.220562093	-3.433328609	0.000596219	0.001682264
Os11g0234200	201.4982866	-0.670681083	0.195349038	-3.433244873	0.000596403	0.001682624
Os05g0158200	1318.942254	-0.324699463	0.094599624	-3.432354694	0.000598364	0.001687837
Os10g0508300	47.20153511	1.258186795	0.366566158	3.432359391	0.000598354	0.001687837
Os01g0201100	327.7503048	-0.637622158	0.185781314	-3.432111355	0.000598902	0.001689192
Os10g0447900	293.3618318	0.616776111	0.179710907	3.432046056	0.000599046	0.001689439
Os03g0159400	433.7016961	-0.570185734	0.166145369	-3.431848494	0.000599482	0.00169051
Os06g0225100	190.8151108	0.550432809	0.160404142	3.431537378	0.00060017	0.001692289
Os08g0299200	416.859742	0.485207057	0.141402985	3.431377766	0.000600524	0.001693125
Os04g0691500	1994.932773	-0.356288211	0.103833192	-3.431351795	0.000600581	0.001693127
Os12g0105600	126.335963	-0.721285425	0.210258084	-3.430476541	0.000602522	0.001698437
Os02g0672700	909.8996371	0.521530888	0.152062461	3.429714893	0.000604216	0.00170305
Os10g0379100	7.964498882	-3.639349332	1.06113566	-3.429673951	0.000604307	0.001703146
Os06g0195600	2461.711636	-0.411312213	0.119980908	-3.428147187	0.000607716	0.001712591
ENSRNA049466168	16.78590565	-1.996405477	0.582371102	-3.428064115	0.000607902	0.001712953
Os06g0190700	152.7549132	-0.712241234	0.207792273	-3.427659869	0.000608808	0.00171518
Os05g0370000	109.1767641	0.818431556	0.238772151	3.427667555	0.00060879	0.00171518
Os10g0130800	455.6137898	0.629431073	0.183644308	3.427446668	0.000609286	0.001716365
Os03g0237000	3506.18886	0.284795062	0.083102049	3.427052235	0.000610172	0.001718697
Os10g0486100	1980.043217	0.479295469	0.13986343	3.426881998	0.000610554	0.001719612
Os01g0901000	514.8077612	-0.394062832	0.115003371	-3.426532883	0.00061134	0.001721661
Os05g0427400	711.7003058	0.610846223	0.178278337	3.426362591	0.000611723	0.001722578
